InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV407015,S00108,Product 108,9,06-02-2024,63.92,C1019,United Kingdom
INV136163,S00070,Product 070,7,26-08-2024,7.98,C1069,United Kingdom
INV215124,S00020,Product 020,6,28-10-2024,23.7,C1097,United Kingdom
INV880304,S00118,Product 118,3,10-07-2025,70.45,C1058,India
INV764308,S00069,Product 069,6,13-05-2024,25.31,C1001,France
INV428210,S00035,Product 035,7,29-10-2024,78.78,C1051,India
INV728041,S00090,Product 090,5,28-07-2024,138.56,C1089,USA
INV103927,S00046,Product 046,3,22-03-2024,31.66,C1100,United Kingdom
INV133463,S00045,Product 045,4,03-03-2024,17.86,C1087,USA
INV556510,S00100,Product 100,8,10-08-2024,124.14,C1044,Germany
INV662467,S00104,Product 104,3,20-02-2024,70.12,C1077,France
INV943312,S00063,Product 063,9,10-02-2024,132.63,C1008,USA
INV783692,S00045,Product 045,7,01-08-2024,47.31,C1049,Germany
INV331597,S00103,Product 103,9,02-05-2024,94.87,C1064,USA
INV833621,S00021,Product 021,5,03-12-2024,138.65,C1003,Spain
INV542361,S00089,Product 089,3,11-01-2024,27.41,C1001,United Kingdom
INV843426,S00070,Product 070,1,02-07-2024,120.51,C1096,India
INV256399,S00102,Product 102,5,02-10-2024,95.46,C1026,United Kingdom
INV123603,S00051,Product 051,4,08-08-2025,122.32,C1015,Spain
INV151923,S00100,Product 100,2,20-01-2025,27.26,C1071,France
INV991794,S00002,Product 002,9,19-06-2025,66.24,C1033,United Kingdom
INV172490,S00091,Product 091,9,27-07-2024,21.07,C1117,Spain
INV945417,S00009,Product 009,4,30-09-2024,144.09,C1113,France
INV754309,S00077,Product 077,7,12-09-2024,11.28,C1098,United Kingdom
INV231435,S00024,Product 024,4,23-06-2025,11.69,C1036,Spain
INV877666,S00115,Product 115,5,06-08-2025,134.93,C1105,United Kingdom
INV229789,S00092,Product 092,6,08-08-2025,46.51,C1030,Spain
INV228968,S00013,Product 013,4,02-04-2025,90.36,C1028,Germany
INV617969,S00107,Product 107,8,01-11-2024,44.55,C1116,India
INV359486,S00030,Product 030,2,24-11-2024,98.02,C1080,USA
INV361740,S00065,Product 065,7,19-08-2025,30.49,C1010,USA
INV275526,S00011,Product 011,9,22-06-2024,69.91,C1106,USA
INV646911,S00013,Product 013,8,29-07-2024,80.96,C1019,United Kingdom
INV124170,S00029,Product 029,1,29-06-2025,51.38,C1081,Spain
INV320566,S00064,Product 064,2,22-08-2024,39.25,C1052,Germany
INV598087,S00065,Product 065,6,22-05-2024,22.75,C1002,United Kingdom
INV537889,S00102,Product 102,9,06-12-2024,106.51,C1094,France
INV729929,S00020,Product 020,8,16-07-2024,26.91,C1082,France
INV294618,S00090,Product 090,9,25-06-2025,45.23,C1106,Germany
INV683089,S00001,Product 001,2,06-07-2025,51.86,C1073,United Kingdom
INV783947,S00035,Product 035,5,05-07-2024,69.25,C1090,France
INV449247,S00021,Product 021,7,17-11-2024,105.98,C1108,United Kingdom
INV331129,S00015,Product 015,6,21-08-2025,65.34,C1117,United Kingdom
INV599508,S00070,Product 070,7,27-03-2025,130.92,C1067,France
INV620974,S00108,Product 108,2,11-05-2024,102.61,C1002,United Kingdom
INV184689,S00080,Product 080,5,25-12-2024,126.1,C1041,USA
INV608600,S00102,Product 102,5,11-01-2025,108.02,C1074,USA
INV238873,S00071,Product 071,9,01-02-2025,24,C1013,USA
INV611942,S00007,Product 007,2,16-01-2024,146.73,C1013,United Kingdom
INV938614,S00042,Product 042,3,01-07-2024,118.41,C1047,France
INV583364,S00099,Product 099,1,03-06-2025,86.76,C1109,India
INV785356,S00006,Product 006,2,26-05-2024,26.45,C1038,Spain
INV378733,S00012,Product 012,9,01-07-2024,27.56,C1112,Germany
INV930464,S00100,Product 100,8,15-07-2024,92.92,C1096,India
INV831481,S00008,Product 008,3,17-04-2024,63.6,C1036,Germany
INV925011,S00115,Product 115,7,04-04-2024,102.03,C1027,USA
INV767436,S00091,Product 091,6,29-07-2024,57.12,C1099,United Kingdom
INV684452,S00080,Product 080,9,15-06-2025,77.9,C1090,India
INV572500,S00064,Product 064,3,01-01-2024,29.82,C1075,United Kingdom
INV935413,S00011,Product 011,9,21-06-2024,24.97,C1117,USA
INV863372,S00050,Product 050,4,06-02-2024,13.2,C1012,France
INV475033,S00097,Product 097,7,07-12-2024,123.31,C1046,United Kingdom
INV177086,S00108,Product 108,4,01-06-2024,84.2,C1072,USA
INV103254,S00054,Product 054,7,26-04-2025,142.18,C1008,USA
INV310133,S00100,Product 100,4,21-12-2024,112.92,C1117,USA
INV156313,S00093,Product 093,8,21-04-2025,115.78,C1068,France
INV290351,S00007,Product 007,6,21-01-2025,77.34,C1036,United Kingdom
INV198538,S00074,Product 074,3,23-09-2024,122.69,C1028,Germany
INV982945,S00074,Product 074,9,07-06-2025,141.43,C1000,United Kingdom
INV185818,S00065,Product 065,7,16-10-2024,108.82,C1071,United Kingdom
INV664201,S00092,Product 092,4,31-07-2025,17.63,C1117,United Kingdom
INV416531,S00106,Product 106,2,27-08-2025,98.35,C1004,Spain
INV256793,S00066,Product 066,9,24-12-2024,19.82,C1049,India
INV731143,S00039,Product 039,7,14-02-2025,13.43,C1079,Spain
INV973498,S00117,Product 117,7,04-06-2024,104.55,C1051,Germany
INV811583,S00115,Product 115,8,10-05-2025,125.55,C1078,Spain
INV977714,S00082,Product 082,6,12-02-2025,25.51,C1085,Germany
INV631191,S00077,Product 077,3,02-07-2025,12.97,C1115,France
INV706216,S00013,Product 013,3,11-06-2024,133.21,C1072,USA
INV231792,S00048,Product 048,1,23-04-2025,21.57,C1085,United Kingdom
INV867173,S00024,Product 024,1,12-10-2024,7.19,C1036,USA
INV773110,S00062,Product 062,7,22-04-2024,108.72,C1018,Germany
INV328621,S00099,Product 099,8,14-04-2024,127.46,C1011,India
INV419321,S00027,Product 027,2,07-12-2024,78.14,C1013,Germany
INV649800,S00119,Product 119,6,13-07-2024,81.91,C1099,United Kingdom
INV111694,S00016,Product 016,2,02-03-2024,51.86,C1004,France
INV836120,S00012,Product 012,4,16-09-2024,37.29,C1058,France
INV352529,S00116,Product 116,8,31-01-2025,113.77,C1073,Spain
INV167479,S00012,Product 012,8,12-07-2024,127.69,C1080,Germany
INV397540,S00088,Product 088,9,03-08-2025,49.54,C1007,USA
INV852190,S00091,Product 091,3,18-04-2025,42.53,C1103,India
INV346820,S00040,Product 040,9,07-11-2024,41.63,C1052,USA
INV585271,S00008,Product 008,8,22-07-2025,9.49,C1002,India
INV830682,S00037,Product 037,4,20-09-2024,43.6,C1015,India
INV130339,S00009,Product 009,3,25-03-2024,5.8,C1103,United Kingdom
INV783932,S00080,Product 080,1,22-01-2024,118.68,C1113,Spain
INV359823,S00106,Product 106,9,24-07-2025,39.88,C1090,USA
INV725996,S00119,Product 119,2,06-08-2025,104.14,C1040,United Kingdom
INV269282,S00096,Product 096,3,25-03-2025,82.39,C1113,France
INV225104,S00093,Product 093,4,03-03-2024,125.94,C1033,Germany
INV809467,S00105,Product 105,2,27-06-2024,144.14,C1028,India
INV827049,S00092,Product 092,8,25-01-2024,56.36,C1091,USA
INV983191,S00078,Product 078,7,01-02-2024,15.07,C1038,United Kingdom
INV709457,S00119,Product 119,2,29-05-2024,112.95,C1062,India
INV519291,S00039,Product 039,2,13-12-2024,5.15,C1079,France
INV275353,S00050,Product 050,1,09-02-2024,35,C1019,USA
INV365695,S00108,Product 108,9,21-08-2025,9.88,C1111,United Kingdom
INV683283,S00038,Product 038,4,03-10-2024,134.93,C1019,Germany
INV411492,S00036,Product 036,6,09-06-2024,2.78,C1119,India
INV535159,S00019,Product 019,2,09-11-2024,74.93,C1033,India
INV251257,S00033,Product 033,3,25-04-2025,64.75,C1050,United Kingdom
INV495414,S00071,Product 071,5,09-07-2024,98.61,C1030,United Kingdom
INV314174,S00106,Product 106,2,29-01-2024,44.88,C1064,France
INV200910,S00017,Product 017,6,31-01-2024,131.31,C1000,United Kingdom
INV218753,S00082,Product 082,9,02-06-2025,110.68,C1020,India
INV566473,S00092,Product 092,3,08-03-2024,65.98,C1062,India
INV429778,S00107,Product 107,6,21-01-2025,54.99,C1083,India
INV189938,S00090,Product 090,9,21-08-2024,122.75,C1115,France
INV562868,S00019,Product 019,9,17-04-2025,114.04,C1100,Spain
INV247827,S00059,Product 059,1,06-02-2024,61.05,C1110,Spain
INV113899,S00114,Product 114,1,29-06-2025,52.52,C1095,India
INV219291,S00109,Product 109,9,28-02-2025,7.76,C1093,France
INV503671,S00073,Product 073,9,30-09-2024,14.09,C1041,Spain
INV958696,S00115,Product 115,3,05-05-2024,9.98,C1108,Spain
INV317504,S00080,Product 080,5,17-08-2025,5.61,C1115,Spain
INV356377,S00008,Product 008,6,02-07-2024,24.63,C1061,USA
INV318388,S00109,Product 109,7,25-10-2024,128.86,C1014,France
INV419683,S00021,Product 021,7,27-08-2024,120.13,C1005,USA
INV745593,S00046,Product 046,4,20-05-2024,127.14,C1059,United Kingdom
INV389872,S00029,Product 029,9,10-09-2024,94.32,C1076,France
INV691811,S00086,Product 086,1,02-04-2024,94.36,C1066,France
INV908424,S00004,Product 004,1,02-01-2024,20.34,C1107,USA
INV951562,S00077,Product 077,9,25-06-2024,105.45,C1064,United Kingdom
INV606668,S00103,Product 103,2,09-03-2024,43.44,C1079,Germany
INV741914,S00094,Product 094,9,09-09-2024,78.85,C1090,France
INV927242,S00037,Product 037,3,08-06-2025,143.3,C1107,India
INV808021,S00107,Product 107,4,08-04-2024,130.85,C1073,France
INV369932,S00044,Product 044,1,01-01-2024,36.51,C1066,Spain
INV218825,S00081,Product 081,9,08-03-2024,111.02,C1009,Germany
INV203351,S00061,Product 061,4,04-11-2024,17.41,C1077,USA
INV893846,S00009,Product 009,2,16-06-2024,5.96,C1021,India
INV600596,S00001,Product 001,5,24-10-2024,6.17,C1044,United Kingdom
INV366711,S00022,Product 022,2,18-01-2024,27.2,C1063,India
INV410982,S00112,Product 112,8,21-07-2024,104.85,C1009,United Kingdom
INV353513,S00114,Product 114,1,06-09-2024,55.77,C1083,Spain
INV821715,S00049,Product 049,5,19-09-2024,4.36,C1033,India
INV651167,S00116,Product 116,4,01-12-2024,148.23,C1061,USA
INV891480,S00006,Product 006,1,19-04-2025,80.94,C1042,United Kingdom
INV371595,S00116,Product 116,1,11-10-2024,60.29,C1042,Germany
INV525315,S00028,Product 028,5,26-05-2025,78.79,C1047,India
INV209561,S00005,Product 005,4,18-11-2024,78.96,C1006,Germany
INV974222,S00091,Product 091,2,07-06-2024,71.6,C1023,India
INV560676,S00046,Product 046,2,19-05-2024,92.72,C1094,Germany
INV597711,S00035,Product 035,8,15-07-2024,133.07,C1014,United Kingdom
INV472299,S00091,Product 091,7,29-12-2024,46.65,C1059,Spain
INV343828,S00040,Product 040,6,27-05-2024,74.07,C1016,India
INV953564,S00090,Product 090,8,09-07-2025,2.54,C1064,Germany
INV540077,S00024,Product 024,1,18-10-2024,129.25,C1077,USA
INV707293,S00011,Product 011,7,08-06-2025,47.27,C1056,USA
INV133579,S00039,Product 039,7,19-02-2025,42.15,C1092,United Kingdom
INV348336,S00073,Product 073,2,21-07-2024,149.64,C1031,Germany
INV823600,S00027,Product 027,5,18-05-2024,88.49,C1066,Spain
INV179051,S00018,Product 018,7,28-03-2025,20.21,C1033,France
INV191291,S00090,Product 090,6,20-07-2024,41.3,C1061,Germany
INV828854,S00059,Product 059,3,30-05-2024,54.28,C1007,Spain
INV377873,S00052,Product 052,6,19-07-2025,147.94,C1032,USA
INV346490,S00029,Product 029,7,20-10-2024,65.73,C1084,Germany
INV608784,S00003,Product 003,1,30-01-2024,36.06,C1093,Germany
INV275429,S00007,Product 007,6,27-10-2024,86.32,C1032,India
INV138677,S00082,Product 082,5,07-10-2024,61.9,C1030,Spain
INV104004,S00010,Product 010,4,09-06-2025,10.13,C1035,India
INV171385,S00030,Product 030,1,08-03-2025,129.42,C1033,Spain
INV242677,S00109,Product 109,1,26-04-2024,4.32,C1119,India
INV726504,S00041,Product 041,7,01-04-2024,134.98,C1078,India
INV368155,S00089,Product 089,8,01-01-2025,119.2,C1046,Spain
INV164599,S00041,Product 041,4,29-01-2024,13.22,C1055,France
INV112982,S00111,Product 111,9,12-07-2024,109.09,C1061,France
INV529374,S00098,Product 098,9,25-03-2024,116.1,C1066,Germany
INV856114,S00056,Product 056,6,13-01-2024,91.14,C1046,France
INV404825,S00082,Product 082,6,12-07-2025,87.5,C1116,Spain
INV157465,S00050,Product 050,9,24-02-2024,9.35,C1034,India
INV305271,S00113,Product 113,6,06-01-2024,10.81,C1051,India
INV549430,S00043,Product 043,9,21-07-2025,109.64,C1000,France
INV269900,S00100,Product 100,9,24-04-2024,17.62,C1058,India
INV980629,S00074,Product 074,2,11-05-2025,37.79,C1102,France
INV787069,S00077,Product 077,6,20-01-2024,75.83,C1119,France
INV410120,S00042,Product 042,7,03-04-2024,26.3,C1056,United Kingdom
INV956387,S00100,Product 100,8,08-03-2024,118.9,C1016,Germany
INV392518,S00089,Product 089,4,05-03-2025,121.49,C1086,India
INV226161,S00098,Product 098,8,12-01-2025,126.64,C1076,Germany
INV944454,S00096,Product 096,5,16-10-2024,9.34,C1115,United Kingdom
INV963712,S00019,Product 019,4,26-05-2024,65.33,C1060,Germany
INV381390,S00105,Product 105,2,24-02-2024,127.34,C1000,USA
INV635285,S00101,Product 101,3,12-12-2024,55.76,C1108,United Kingdom
INV255963,S00029,Product 029,9,20-05-2024,104.98,C1081,United Kingdom
INV677493,S00117,Product 117,7,24-12-2024,89.21,C1096,France
INV721106,S00063,Product 063,7,21-02-2025,53.39,C1014,France
INV738933,S00039,Product 039,9,31-05-2025,42.91,C1054,USA
INV611861,S00027,Product 027,3,27-10-2024,98.61,C1054,Germany
INV733706,S00044,Product 044,6,03-01-2024,21.78,C1032,France
INV599543,S00005,Product 005,4,19-06-2024,129.3,C1101,Germany
INV837829,S00083,Product 083,8,02-06-2025,87.31,C1022,Germany
INV261628,S00085,Product 085,4,20-11-2024,18.5,C1008,Germany
INV535121,S00080,Product 080,8,11-01-2025,106.12,C1028,Germany
INV474755,S00066,Product 066,7,05-10-2024,65.8,C1118,India
INV580022,S00044,Product 044,7,08-04-2024,32.2,C1013,India
INV227874,S00087,Product 087,9,29-06-2025,144.24,C1069,Germany
INV391443,S00104,Product 104,8,14-04-2025,108.51,C1021,France
INV958725,S00011,Product 011,3,28-08-2025,89.76,C1047,Germany
INV194731,S00046,Product 046,5,04-06-2025,127.63,C1066,USA
INV671775,S00119,Product 119,5,26-06-2024,82.49,C1002,United Kingdom
INV698175,S00103,Product 103,1,03-06-2024,67.34,C1028,France
INV527063,S00119,Product 119,6,31-05-2024,30.04,C1070,Germany
INV130248,S00022,Product 022,4,12-07-2025,24.7,C1001,France
INV130920,S00056,Product 056,4,04-12-2024,65.93,C1059,USA
INV348071,S00016,Product 016,1,03-10-2024,69.48,C1072,Spain
INV192262,S00104,Product 104,5,11-08-2025,110.53,C1025,France
INV184806,S00062,Product 062,6,01-01-2025,67.43,C1019,India
INV244108,S00029,Product 029,1,06-07-2025,89.79,C1058,India
INV271654,S00011,Product 011,6,21-08-2025,125.21,C1086,United Kingdom
INV854627,S00088,Product 088,2,18-02-2024,149.01,C1001,France
INV674857,S00097,Product 097,2,07-08-2024,49.73,C1040,France
INV127368,S00105,Product 105,4,22-03-2025,135.49,C1119,France
INV665628,S00116,Product 116,4,09-05-2025,121.3,C1040,France
INV223037,S00097,Product 097,9,31-03-2024,12.06,C1039,India
INV478949,S00094,Product 094,1,12-07-2024,51.46,C1088,USA
INV134240,S00097,Product 097,4,29-11-2024,34.42,C1057,United Kingdom
INV181154,S00119,Product 119,7,30-04-2025,100.33,C1046,USA
INV219335,S00056,Product 056,3,09-03-2024,84.18,C1094,USA
INV490036,S00091,Product 091,9,31-12-2024,75.24,C1003,France
INV516772,S00098,Product 098,7,29-06-2024,115.01,C1085,France
INV417470,S00014,Product 014,9,11-05-2024,51.33,C1045,United Kingdom
INV658151,S00083,Product 083,9,09-11-2024,58.65,C1106,France
INV748412,S00041,Product 041,1,08-09-2024,130.11,C1086,Germany
INV755858,S00016,Product 016,5,21-01-2025,145.89,C1112,USA
INV621123,S00021,Product 021,7,12-07-2024,116.9,C1015,United Kingdom
INV590999,S00014,Product 014,1,15-05-2025,34.13,C1022,France
INV542408,S00107,Product 107,5,17-02-2024,18.67,C1108,France
INV314141,S00092,Product 092,7,08-06-2025,32.96,C1046,USA
INV538283,S00013,Product 013,8,19-01-2024,64.57,C1097,India
INV109088,S00075,Product 075,4,23-03-2025,37.03,C1082,USA
INV969666,S00079,Product 079,8,29-07-2024,135.35,C1059,Germany
INV433083,S00062,Product 062,7,21-08-2024,101.27,C1005,Germany
INV780664,S00073,Product 073,1,12-01-2024,63.68,C1008,Spain
INV961032,S00108,Product 108,3,02-03-2025,42.52,C1086,France
INV547281,S00062,Product 062,9,10-04-2024,58.34,C1011,United Kingdom
INV875643,S00079,Product 079,1,04-02-2025,72.46,C1000,India
INV531299,S00068,Product 068,1,16-03-2025,107.65,C1026,United Kingdom
INV219060,S00048,Product 048,4,28-05-2025,15.22,C1109,Germany
INV123831,S00107,Product 107,9,06-03-2025,127.63,C1075,USA
INV222060,S00050,Product 050,7,02-07-2024,20.88,C1086,India
INV948257,S00096,Product 096,2,25-03-2025,40.84,C1078,Spain
INV527597,S00073,Product 073,4,17-05-2025,149.05,C1067,United Kingdom
INV387256,S00082,Product 082,9,11-07-2024,30.15,C1030,Germany
INV501454,S00091,Product 091,2,16-03-2024,16.97,C1051,Germany
INV330344,S00088,Product 088,6,25-06-2025,96.48,C1065,Spain
INV883496,S00068,Product 068,5,30-03-2024,60.18,C1118,Spain
INV999467,S00074,Product 074,7,27-12-2024,15.59,C1107,France
INV176424,S00061,Product 061,7,23-05-2024,2.55,C1088,India
INV746819,S00041,Product 041,8,17-03-2024,13.72,C1097,India
INV402039,S00087,Product 087,2,17-04-2025,79.36,C1096,India
INV142627,S00105,Product 105,5,28-03-2024,36.17,C1080,United Kingdom
INV929988,S00084,Product 084,7,11-02-2025,117.08,C1099,Spain
INV155696,S00092,Product 092,4,25-02-2025,128.91,C1008,Germany
INV285311,S00099,Product 099,7,06-02-2024,23.44,C1002,Germany
INV122951,S00044,Product 044,6,15-04-2024,51.88,C1053,USA
INV524154,S00008,Product 008,4,27-04-2025,23.69,C1006,France
INV639656,S00041,Product 041,1,04-11-2024,44.43,C1040,India
INV388605,S00090,Product 090,9,14-03-2024,37.4,C1023,Germany
INV164407,S00098,Product 098,8,25-08-2025,118.46,C1114,USA
INV204539,S00062,Product 062,9,10-06-2024,53.13,C1078,Germany
INV940048,S00093,Product 093,3,03-01-2024,75.34,C1005,Germany
INV825324,S00009,Product 009,3,15-07-2025,101.74,C1074,Germany
INV943214,S00077,Product 077,3,11-01-2024,123.69,C1087,Germany
INV577722,S00081,Product 081,1,02-12-2024,46.58,C1039,Spain
INV591448,S00061,Product 061,2,26-08-2025,32.96,C1105,United Kingdom
INV807396,S00086,Product 086,3,17-12-2024,146.81,C1116,Germany
INV654974,S00059,Product 059,9,21-12-2024,49.38,C1117,India
INV492796,S00063,Product 063,2,24-08-2024,101.32,C1011,United Kingdom
INV362704,S00072,Product 072,5,18-03-2024,102.32,C1053,France
INV536956,S00095,Product 095,5,14-12-2024,78.08,C1093,India
INV157575,S00030,Product 030,4,29-06-2025,35.81,C1053,France
INV273203,S00036,Product 036,9,25-02-2024,22.94,C1057,United Kingdom
INV763713,S00050,Product 050,1,19-06-2025,74.08,C1039,United Kingdom
INV881247,S00025,Product 025,8,09-09-2024,77.62,C1050,USA
INV191607,S00040,Product 040,7,22-11-2024,116.46,C1083,India
INV187216,S00042,Product 042,3,10-04-2024,107.06,C1003,France
INV177001,S00038,Product 038,7,13-01-2025,136.98,C1095,USA
INV812419,S00049,Product 049,4,20-04-2024,145.69,C1087,United Kingdom
INV380100,S00061,Product 061,9,15-06-2024,109.72,C1016,United Kingdom
INV394087,S00083,Product 083,1,14-03-2025,13.32,C1092,USA
INV111219,S00037,Product 037,1,31-01-2024,61.96,C1062,India
INV975338,S00101,Product 101,5,28-09-2024,92.1,C1038,Spain
INV490631,S00058,Product 058,9,27-12-2024,89.35,C1054,France
INV817701,S00086,Product 086,1,21-03-2024,28.85,C1062,India
INV736912,S00014,Product 014,8,28-06-2024,88.28,C1025,Spain
INV227597,S00021,Product 021,9,27-07-2024,53.75,C1072,France
INV821213,S00054,Product 054,5,07-02-2025,52.16,C1075,France
INV595272,S00044,Product 044,8,16-08-2025,125.43,C1044,France
INV643875,S00060,Product 060,7,23-05-2025,64.45,C1055,Spain
INV280284,S00019,Product 019,2,25-04-2024,80.05,C1073,Spain
INV862185,S00057,Product 057,8,12-01-2024,85.31,C1060,India
INV938499,S00082,Product 082,7,01-02-2024,85.32,C1052,France
INV465851,S00087,Product 087,1,28-12-2024,33.54,C1114,Germany
INV183229,S00030,Product 030,6,05-04-2024,90.72,C1105,Spain
INV863894,S00041,Product 041,6,20-05-2024,51.52,C1045,Spain
INV898652,S00063,Product 063,8,30-05-2025,98.94,C1086,Germany
INV555825,S00062,Product 062,7,15-06-2025,23.56,C1097,United Kingdom
INV621233,S00095,Product 095,5,25-05-2025,149.13,C1013,Germany
INV300732,S00047,Product 047,3,03-06-2024,116.26,C1071,United Kingdom
INV160725,S00080,Product 080,2,11-01-2025,63.75,C1095,United Kingdom
INV949730,S00106,Product 106,1,06-01-2025,46.6,C1006,USA
INV534661,S00036,Product 036,6,22-04-2024,59.39,C1040,India
INV347473,S00098,Product 098,9,02-12-2024,108.74,C1095,United Kingdom
INV723908,S00040,Product 040,1,15-11-2024,99,C1112,France
INV123581,S00040,Product 040,7,28-08-2024,105.91,C1119,Germany
INV171945,S00078,Product 078,6,02-04-2025,133.57,C1072,USA
INV318406,S00074,Product 074,2,15-02-2025,69.53,C1005,France
INV505583,S00066,Product 066,2,19-11-2024,101.09,C1003,Germany
INV430018,S00028,Product 028,3,17-03-2025,67.34,C1097,Spain
INV268612,S00012,Product 012,7,08-04-2025,96.44,C1088,France
INV416214,S00109,Product 109,3,10-12-2024,72.27,C1023,Germany
INV400520,S00105,Product 105,8,11-06-2024,116.95,C1015,Germany
INV572200,S00106,Product 106,4,06-04-2025,2.78,C1017,United Kingdom
INV606466,S00062,Product 062,1,12-03-2025,33.93,C1105,India
INV894813,S00106,Product 106,1,20-08-2025,45.87,C1091,USA
INV826099,S00057,Product 057,4,01-04-2024,141.92,C1113,India
INV363104,S00009,Product 009,4,11-09-2024,77.04,C1013,France
INV912400,S00024,Product 024,7,15-07-2025,55.92,C1083,France
INV568693,S00033,Product 033,5,08-11-2024,61.84,C1110,United Kingdom
INV268909,S00045,Product 045,2,27-07-2025,68.87,C1063,France
INV406124,S00112,Product 112,2,08-01-2024,130.44,C1092,United Kingdom
INV767585,S00040,Product 040,6,22-01-2024,144.43,C1072,India
INV839594,S00073,Product 073,4,28-04-2025,126.94,C1000,USA
INV436711,S00033,Product 033,7,05-08-2024,126.57,C1051,Germany
INV241841,S00077,Product 077,9,12-11-2024,31.45,C1031,India
INV272698,S00068,Product 068,4,17-09-2024,41.76,C1010,Spain
INV193159,S00018,Product 018,5,05-09-2024,90.22,C1071,France
INV728863,S00056,Product 056,8,25-07-2025,99.11,C1111,India
INV552695,S00013,Product 013,2,27-02-2024,32,C1006,India
INV506064,S00106,Product 106,5,14-04-2025,112.45,C1039,Germany
INV704698,S00084,Product 084,3,24-06-2025,31.59,C1080,India
INV845798,S00113,Product 113,6,03-02-2025,40.93,C1037,Spain
INV815971,S00105,Product 105,7,28-08-2024,47.41,C1013,Germany
INV223430,S00027,Product 027,2,07-04-2024,127.21,C1022,India
INV630661,S00085,Product 085,2,19-02-2025,110.35,C1002,Spain
INV894261,S00012,Product 012,1,12-10-2024,80.54,C1119,United Kingdom
INV796464,S00115,Product 115,1,31-03-2024,123.32,C1058,United Kingdom
INV396471,S00094,Product 094,1,06-08-2024,122.31,C1113,Germany
INV453438,S00081,Product 081,7,07-08-2025,59.7,C1082,United Kingdom
INV901175,S00119,Product 119,9,10-06-2024,117.65,C1041,France
INV129580,S00101,Product 101,4,18-04-2024,32.52,C1113,France
INV572877,S00103,Product 103,8,18-02-2025,76.48,C1031,India
INV204489,S00012,Product 012,7,01-05-2024,19.5,C1021,Germany
INV905128,S00003,Product 003,8,13-07-2025,65.17,C1096,Spain
INV134850,S00115,Product 115,7,06-06-2025,79.01,C1066,Spain
INV121052,S00030,Product 030,2,20-08-2025,13.83,C1050,France
INV396048,S00051,Product 051,5,08-07-2025,70.47,C1070,USA
INV280149,S00006,Product 006,5,28-05-2024,98.45,C1116,Germany
INV545941,S00075,Product 075,6,08-05-2024,92.89,C1033,France
INV369611,S00098,Product 098,8,27-07-2024,10.04,C1108,United Kingdom
INV420685,S00101,Product 101,2,12-10-2024,16.11,C1109,France
INV608429,S00070,Product 070,7,19-06-2025,54,C1091,United Kingdom
INV604538,S00079,Product 079,8,21-03-2025,126.72,C1018,USA
INV941437,S00062,Product 062,2,26-01-2025,130.72,C1010,Germany
INV532547,S00054,Product 054,4,18-06-2025,47.82,C1014,India
INV607807,S00066,Product 066,-9,27-01-2025,108.4,C1084,United Kingdom
INV710147,S00112,Product 112,1,18-08-2024,87.45,C1047,Germany
INV256809,S00031,Product 031,2,08-09-2024,147.55,C1118,United Kingdom
INV700265,S00056,Product 056,8,10-11-2024,16.01,C1000,France
INV875719,S00072,Product 072,2,23-02-2024,83.09,C1044,Spain
INV386257,S00068,Product 068,7,26-03-2025,89.7,C1031,France
INV260505,S00004,Product 004,9,31-01-2025,47.53,C1105,Spain
INV411592,S00035,Product 035,5,20-03-2025,8.95,C1014,India
INV347534,S00077,Product 077,5,20-11-2024,9.71,C1048,United Kingdom
INV626632,S00083,Product 083,4,21-04-2025,69.14,C1104,France
INV877361,S00088,Product 088,4,31-07-2025,104.49,C1116,Spain
INV636788,S00118,Product 118,4,12-12-2024,105.63,C1109,Spain
INV212960,S00081,Product 081,5,27-09-2024,28.78,C1078,United Kingdom
INV383229,S00069,Product 069,9,04-03-2024,128.98,C1019,Germany
INV720382,S00040,Product 040,9,18-04-2025,57.82,C1011,France
INV397285,S00045,Product 045,8,03-07-2025,144.73,C1049,Spain
INV627751,S00099,Product 099,2,01-03-2025,19.49,C1057,USA
INV724639,S00056,Product 056,3,10-06-2025,125.8,C1061,France
INV396250,S00086,Product 086,7,07-06-2025,136.43,C1005,Spain
INV682669,S00015,Product 015,5,30-04-2025,123.76,C1081,Germany
INV458304,S00016,Product 016,4,01-11-2024,121.71,C1047,United Kingdom
INV221545,S00026,Product 026,3,01-03-2024,55.47,C1013,France
INV434963,S00024,Product 024,2,02-01-2024,107.57,C1109,France
INV496937,S00073,Product 073,3,04-05-2024,87.74,C1042,United Kingdom
INV102148,S00076,Product 076,4,19-09-2024,64.82,C1027,India
INV903434,S00067,Product 067,4,28-03-2025,148.98,C1059,Germany
INV575100,S00035,Product 035,5,04-10-2024,44.99,C1114,Germany
INV132675,S00069,Product 069,3,15-01-2024,63.15,C1098,France
INV881191,S00015,Product 015,2,07-05-2024,135.62,C1011,USA
INV869646,S00057,Product 057,8,18-08-2025,44.77,C1082,Spain
INV110843,S00019,Product 019,4,23-08-2025,24.6,C1079,France
INV246860,S00010,Product 010,3,17-08-2024,47.88,C1106,India
INV427414,S00020,Product 020,6,04-05-2025,114.38,C1115,United Kingdom
INV556523,S00014,Product 014,5,13-03-2025,129.26,C1089,France
INV753186,S00057,Product 057,6,20-07-2025,18.94,C1078,Spain
INV481902,S00065,Product 065,2,23-06-2025,94.01,C1042,France
